Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,SMILES_valid
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,N=0,FM0,STRICT-GOLD,3.74,-1.2350000000000003,logP 2-3,logP 1.5-3.0,dimeric_coumarin,True
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,N≥4,FM3,STRICT-GOLD,3.14,0.08,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,N≥4,FM3,STRICT-GOLD,2.23,0.7799999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,N≥4,FM3,STRICT-GOLD,2.31,0.6600000000000001,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,N≥4,FM3,STRICT-GOLD,2.17,0.6099999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,N≥4,FM3,STRICT-GOLD,1.9,1.87,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,N=2-3,FM2,STRICT-GOLD,5.93,-1.0499999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,N=2-3,FM2,STRICT-GOLD,6.57,-1.5300000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,N=2-3,FM2,STRICT-GOLD,6.59,-1.5599999999999996,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,N=2-3,FM2,STRICT-GOLD,6.0,-1.2400000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,N≥4,FM3,STRICT-GOLD,5.19,-1.2600000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,N=0,FM0,STRICT-GOLD,1.43,0.9400000000000002,logP 2-3,logP 1.5-3.0,simple_coumarin,True
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,N=0,FM4,STRICT-GOLD,3.12,0.1599999999999997,logP>3,logP>3.0,simple_coumarin,True
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,N=1,FM2,STRICT-GOLD,2.26,0.9800000000000004,logP>3,logP>3.0,simple_coumarin,True
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,N=0,FM4,STRICT-GOLD,2.66,2.27,logP>3,logP>3.0,dimeric_coumarin,True
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,N=0,FM4,STRICT-GOLD,2.61,1.94,logP>3,logP>3.0,dimeric_coumarin,True
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,N=2-3,FM2,GOLD,4.56,-1.2559999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,N=2-3,FM2,GOLD,5.05,-1.938,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,N=2-3,FM2,GOLD,4.81,-1.2729999999999997,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,N=2-3,FM2,GOLD,4.99,-1.931,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,N=2-3,FM2,GOLD,5.4,-2.398000000000001,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,N=2-3,FM2,GOLD,5.07,-2.003,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,N=2-3,FM2,GOLD,5.23,-1.6280000000000006,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,N=2-3,FM2,GOLD,5.4,-2.0640000000000005,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,N=0,FM4,STRICT-GOLD,3.61,-0.5699999999999998,logP>3,logP>3.0,drug_like_coumarin,True
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,N=2-3,FM1,STRICT-GOLD,1.33,-0.8800000000000001,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,N=2-3,FM1,STRICT-GOLD,2.35,-1.75,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,N=2-3,FM1,STRICT-GOLD,2.59,-2.04,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,N=2-3,FM1,STRICT-GOLD,3.24,-2.6300000000000003,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,N=2-3,FM1,STRICT-GOLD,3.17,-2.68,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,N≥4,FM3,STRICT-GOLD,0.66,-0.01,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,N≥4,FM3,STRICT-GOLD,2.61,-2.13,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,N≥4,FM3,STRICT-GOLD,3.02,-2.53,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,N≥4,FM3,STRICT-GOLD,4.42,-3.81,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,N≥4,FM3,STRICT-GOLD,4.25,-3.67,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,N=2-3,FM2,STRICT-GOLD,3.22,-0.6400000000000001,logP 2-3,logP 1.5-3.0,amidoxime,True
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,N=2-3,FM2,STRICT-GOLD,3.59,-0.6999999999999997,logP 2-3,logP 1.5-3.0,amidoxime,True
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,N=2-3,FM2,STRICT-GOLD,3.35,-0.5700000000000003,logP 2-3,logP 1.5-3.0,amidoxime,True
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,N=1,FM1,STRICT-GOLD,1.9,-1.68,logP<1,logP<1.5,amidoxime (hydroxyimino-alkyl),True
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,N=2-3,FM1,STRICT-GOLD,1.36,-0.3600000000000001,logP<1,logP<1.5,amidoxime (O-acetyl),True
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,N=2-3,FM2,STRICT-GOLD,2.96,0.6699999999999999,logP>3,logP>3.0,hydrazone,True
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,N=2-3,FM2,STRICT-GOLD,1.78,0.1699999999999999,logP 1-2,logP 1.5-3.0,oxadiazole,True
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,N=2-3,FM2,STRICT-GOLD,2.15,-0.0299999999999998,logP 2-3,logP 1.5-3.0,oxadiazole,True
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,N=2-3,FM2,STRICT-GOLD,3.26,-0.0399999999999995,logP>3,logP>3.0,oxadiazole,True
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,N=2-3,FM2,STRICT-GOLD,3.27,-0.29,logP 2-3,logP 1.5-3.0,oxadiazole,True
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,N=2-3,FM2,STRICT-GOLD,1.45,0.53,logP 1-2,logP 1.5-3.0,"oxadiazoline (4,5-dihydro-1,2,4-oxadiazole)",True
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,N=2-3,FM2,STRICT-GOLD,1.75,0.1799999999999999,logP 1-2,logP 1.5-3.0,oxadiazoline,True
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,N=2-3,FM2,STRICT-GOLD,2.88,-0.4299999999999997,logP 2-3,logP 1.5-3.0,oxadiazoline,True
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,N=2-3,FM2,STRICT-GOLD,3.15,-0.4499999999999997,logP 2-3,logP 1.5-3.0,oxadiazoline,True
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,N=2-3,FM2,STRICT-GOLD,3.48,-0.4500000000000002,logP>3,logP>3.0,thioxo-oxadiazoline,True
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,N=2-3,FM2,STRICT-GOLD,2.57,-0.4099999999999997,logP 2-3,logP 1.5-3.0,oxathiadiazole sulfoxide,True
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,N=2-3,FM2,STRICT-GOLD,3.17,-0.1,logP>3,logP>3.0,oxadiazole,True
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,N=1,FM2,STRICT-GOLD,3.14,-0.1,logP>3,logP>3.0,dioxazole,True
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,N=0,FM0,STRICT-GOLD,1.82,-0.4300000000000001,logP 1-2,logP<1.5,Parent core (unsubstituted),True
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,N=2-3,FM1,GOLD,1.82,-1.4,logP<1,logP<1.5,3-imino-coumarin derivative,True
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,N=2-3,FM1,STRICT-GOLD,4.88,-3.515,logP 1-2,logP<1.5,7-amino-substituted D-π-A coumarin,True
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,N=2-3,FM1,STRICT-GOLD,6.16,-5.1936,logP<1,logP<1.5,7-amino-substituted D-π-A coumarin,True
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,N=0,FM0,STRICT-GOLD,2.12,-0.4500000000000002,logP 1-2,logP 1.5-3.0,Furocoumarin,True
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,N=0,FM0,STRICT-GOLD,2.16,-0.2300000000000002,logP 1-2,logP 1.5-3.0,Furocoumarin,True
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,N=0,FM0,STRICT-GOLD,2.16,-0.1600000000000001,logP 1-2,logP 1.5-3.0,Furocoumarin,True
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,N=0,FM4,STRICT-GOLD,3.19,-0.0499999999999998,logP>3,logP>3.0,Furocoumarin,True
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,N≥4,FM3,EXTENDED,2.34,-0.928,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,N≥4,FM3,EXTENDED,3.09,-1.46,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,N≥4,FM3,EXTENDED,3.05,-1.4699999999999998,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,N≥4,FM3,EXTENDED,2.05,-1.2239999999999998,logP<1,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,N≥4,FM3,EXTENDED,2.0,-1.355,logP<1,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,N≥4,FM3,EXTENDED,2.97,-1.4690000000000003,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,N≥4,FM3,EXTENDED,2.7,-0.8940000000000001,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,N≥4,FM3,EXTENDED,1.68,-0.4599999999999999,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,N≥4,FM3,EXTENDED,2.93,-1.509,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,N≥4,FM3,EXTENDED,3.4,-1.929,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,True
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,N=1,FM2,GOLD,3.39,-1.3200000000000005,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,True
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,N=1,FM2,GOLD,3.76,-1.3299999999999996,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,True
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,N=1,FM2,GOLD,4.38,-1.73,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,True
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,N=1,FM2,GOLD,3.81,-1.29,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,True
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,N=2-3,FM2,GOLD,5.36,-2.5600000000000005,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,True
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,N≥4,FM3,GOLD,2.32,-0.0699999999999998,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,N≥4,FM3,GOLD,1.97,0.05,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,N≥4,FM3,GOLD,1.59,0.3099999999999998,logP 1-2,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,N≥4,FM3,GOLD,1.94,0.01,logP 1-2,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,N≥4,FM3,GOLD,2.27,0.3799999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,N=2-3,FM2,GOLD,2.72,-0.3400000000000003,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,N=2-3,FM2,GOLD,2.41,0.2399999999999997,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,N≥4,FM3,GOLD,1.98,0.4300000000000001,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,N=2-3,FM2,GOLD,2.36,0.25,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,N=2-3,FM2,GOLD,2.7,-0.06,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,N=1,FM1,EXTENDED,3.0,-1.502,logP 1-2,logP<1.5,conjugated_coumarin,True
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,N=1,FM2,EXTENDED,3.0,-1.497,logP 1-2,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,N=1,FM2,EXTENDED,3.0,-0.8479999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,N=1,FM2,EXTENDED,3.92,-2.202,logP 1-2,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,N=1,FM2,EXTENDED,3.93,-2.151,logP 1-2,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,N=1,FM2,EXTENDED,3.97,-1.6820000000000004,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,N=1,FM1,EXTENDED,2.71,-1.415,logP 1-2,logP<1.5,conjugated_coumarin,True
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,N=1,FM2,EXTENDED,2.74,-0.286,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,1.443,1,N=1,FM1,EXTENDED,2.75,-1.307,logP 1-2,logP<1.5,conjugated_coumarin,True
