Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,RDKit_MolLogP,delta_RDKit_MolLogP,abs_delta_RDKit_MolLogP,RDKit_status,DataWarrior_cLogP,delta_DataWarrior_cLogP,abs_delta_DataWarrior_cLogP,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP,delta_SwissADME_Consensus,abs_delta_SwissADME_Consensus,flag_polar_logP_le_1,flag_N_1_3_logP_lt_1_5,flag_severe_consensus_abs_error,flag_FM4_exploratory_boundary
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,N=0,FM0,STRICT-GOLD,3.74,-1.2350000000000003,logP 2-3,logP 1.5-3.0,dimeric_coumarin,4.499400000000004,-1.9944000000000042,1.9944000000000042,OK,3.933,-1.428,1.428,3.06,-4.45,-0.5550000000000002,0.5550000000000002,1.44,[0.05:2.83],1,0.39,0.348,1.065,1.065,-1.2350000000000003,1.2350000000000003,False,False,False,False
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,N≥4,FM3,STRICT-GOLD,3.14,0.08,logP>3,logP>3.0,conjugated_coumarin,3.4342400000000017,-0.21424000000000154,0.21424000000000154,OK,3.175,0.04500000000000037,0.04500000000000037,3.22,-4.76,0.0,0.0,-2.43,[-3.4:-1.18],1,0.319,0.406,5.65,5.65,0.08000000000000007,0.08000000000000007,False,False,False,False
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,N≥4,FM3,STRICT-GOLD,2.23,0.7799999999999998,logP>3,logP>3.0,conjugated_coumarin,2.834600000000001,0.1753999999999989,0.1753999999999989,OK,2.3472,0.6627999999999998,0.6627999999999998,3.01,-4.49,0.0,0.0,-2.84,[-3.4:-2.22],1,0.298,0.503,5.85,5.85,0.7799999999999998,0.7799999999999998,False,False,False,False
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,N≥4,FM3,STRICT-GOLD,2.31,0.6600000000000001,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.8346,0.1354000000000002,0.1354000000000002,OK,2.3472,0.6228000000000002,0.6228000000000002,2.97,-4.47,0.0,0.0,-2.83,[-4.19:-1.47],0,0.294,0.337,5.800000000000001,5.800000000000001,0.6600000000000001,0.6600000000000001,False,False,False,False
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,N≥4,FM3,STRICT-GOLD,2.17,0.6099999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.578500000000001,0.2014999999999989,0.2014999999999989,OK,2.3037,0.4762999999999997,0.4762999999999997,2.83,-4.2,-0.050000000000000266,0.050000000000000266,1.88,[0.8:2.96],1,0.336,0.397,0.8999999999999999,0.8999999999999999,0.6099999999999999,0.6099999999999999,False,False,False,False
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,N≥4,FM3,STRICT-GOLD,1.9,1.87,logP>3,logP>3.0,conjugated_coumarin,1.8616999999999997,1.9083000000000003,1.9083000000000003,OK,2.8233,0.9466999999999999,0.9466999999999999,3.66,-4.5,0.10999999999999988,0.10999999999999988,1.08,[-0.67:2.83],0,0.286,0.285,2.69,2.69,1.87,1.87,False,False,False,False
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,N=2-3,FM2,STRICT-GOLD,5.93,-1.0499999999999998,logP>3,logP>3.0,conjugated_coumarin,7.069600000000006,-2.1896000000000058,2.1896000000000058,OK,6.6917,-1.8117,1.8117,6.48,-6.25,-1.6000000000000005,1.6000000000000005,4.82,[1.84:7.8],1,0.406,0.1,0.05999999999999961,0.05999999999999961,-1.0499999999999998,1.0499999999999998,False,False,False,False
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,N=2-3,FM2,STRICT-GOLD,6.57,-1.5300000000000002,logP>3,logP>3.0,conjugated_coumarin,7.686440000000006,-2.6464400000000063,2.6464400000000063,OK,7.3795,-2.3395,2.3395,7.53,-6.42,-2.49,2.49,5.39,[4.16:6.62],1,0.384,0.386,-0.34999999999999964,0.34999999999999964,-1.5300000000000002,1.5300000000000002,False,False,False,False
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,N=2-3,FM2,STRICT-GOLD,6.59,-1.5599999999999996,logP>3,logP>3.0,conjugated_coumarin,7.686440000000006,-2.656440000000006,2.656440000000006,OK,7.3795,-2.3495,2.3495,7.53,-6.42,-2.5,2.5,5.39,[4.16:6.62],1,0.384,0.386,-0.35999999999999943,0.35999999999999943,-1.5599999999999996,1.5599999999999996,False,False,False,False
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,N=2-3,FM2,STRICT-GOLD,6.0,-1.2400000000000002,logP>3,logP>3.0,conjugated_coumarin,7.078200000000006,-2.3182000000000063,2.3182000000000063,OK,6.6217,-1.8617,1.8617,6.35,-6.28,-1.5899999999999999,1.5899999999999999,4.55,[2.72:6.3],1,0.418,0.299,0.20999999999999996,0.20999999999999996,-1.2400000000000002,1.2400000000000002,False,False,False,False
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,N≥4,FM3,STRICT-GOLD,5.19,-1.2600000000000002,logP>3,logP>3.0,conjugated_coumarin,6.464600000000005,-2.534600000000005,2.534600000000005,OK,5.6908,-1.7608000000000001,1.7608000000000001,6.03,-5.96,-2.1,2.1,3.16,[0.38:5.94],1,0.419,0.116,0.77,0.77,-1.2600000000000002,1.2600000000000002,False,False,False,False
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,N=0,FM0,STRICT-GOLD,1.43,0.9400000000000002,logP 2-3,logP 1.5-3.0,simple_coumarin,1.4986,0.8714000000000002,0.8714000000000002,OK,1.1152,1.2548000000000001,1.2548000000000001,1.01,-1.77,1.36,1.36,1.62,[1.43:1.81],1,0.738,0.813,0.75,0.75,0.9400000000000002,0.9400000000000002,False,False,False,False
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,N=0,FM4,STRICT-GOLD,3.12,0.1599999999999997,logP>3,logP>3.0,simple_coumarin,3.6096000000000026,-0.3296000000000028,0.3296000000000028,OK,3.2806,-0.000600000000000378,0.000600000000000378,2.41,-3.82,0.8699999999999997,0.8699999999999997,2.8,[2.36:3.24],1,0.571,0.671,0.48,0.48,0.1599999999999997,0.1599999999999997,False,False,False,True
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,N=1,FM2,STRICT-GOLD,2.26,0.9800000000000004,logP>3,logP>3.0,simple_coumarin,3.517800000000003,-0.2778000000000027,0.2778000000000027,OK,2.359,0.8810000000000002,0.8810000000000002,2.53,-4.52,0.7100000000000004,0.7100000000000004,2.87,[1.86:3.88],1,0.568,0.482,0.3700000000000001,0.3700000000000001,0.9800000000000004,0.9800000000000004,False,False,False,False
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,N=0,FM4,STRICT-GOLD,2.66,2.27,logP>3,logP>3.0,dimeric_coumarin,3.005600000000001,1.9243999999999986,1.9243999999999986,OK,2.3642,2.5658,2.5658,2.18,-3.78,2.7499999999999996,2.7499999999999996,2.51,[1.75:3.27],1,0.457,0.513,2.42,2.42,2.2699999999999996,2.2699999999999996,False,False,True,True
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,N=0,FM4,STRICT-GOLD,2.61,1.94,logP>3,logP>3.0,dimeric_coumarin,3.088900000000003,1.461099999999997,1.461099999999997,OK,2.3075,2.2424999999999997,2.2424999999999997,1.96,-3.62,2.59,2.59,3.48,[1.38:6.09],1,0.49,0.158,1.0699999999999998,1.0699999999999998,1.94,1.94,False,False,False,True
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,N=2-3,FM2,GOLD,4.56,-1.2559999999999998,logP>3,logP>3.0,conjugated_coumarin,5.344200000000003,-2.0402000000000036,2.0402000000000036,OK,4.0605,-0.7565000000000004,0.7565000000000004,5.11,-4.88,-1.8060000000000005,1.8060000000000005,1.72,[0:3.44],1,0.46,0.386,1.5839999999999999,1.5839999999999999,-1.2559999999999998,1.2559999999999998,False,False,False,False
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,N=2-3,FM2,GOLD,5.05,-1.938,logP>3,logP>3.0,conjugated_coumarin,6.106700000000004,-2.9947000000000035,2.9947000000000035,OK,4.7857,-1.6737000000000002,1.6737000000000002,5.5,-5.2,-2.388,2.388,1.41,[0.45:2.37],1,0.437,0.515,1.7020000000000002,1.7020000000000002,-1.9379999999999997,1.9379999999999997,False,False,False,False
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,N=2-3,FM2,GOLD,4.81,-1.2729999999999997,logP>3,logP>3.0,conjugated_coumarin,5.734900000000003,-2.1979000000000033,2.1979000000000033,OK,4.5297,-0.9927000000000001,0.9927000000000001,5.56,-5.31,-2.0229999999999997,2.0229999999999997,2.45,[0.59:4.31],1,0.459,0.314,1.0869999999999997,1.0869999999999997,-1.2729999999999997,1.2729999999999997,False,False,False,False
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,N=2-3,FM2,GOLD,4.99,-1.931,logP>3,logP>3.0,conjugated_coumarin,5.888500000000002,-2.829500000000002,2.829500000000002,OK,4.5473,-1.4882999999999997,1.4882999999999997,5.5,-5.23,-2.441,2.441,2.02,[0.46:3.58],1,0.451,0.417,1.0390000000000001,1.0390000000000001,-1.931,1.931,False,False,False,False
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,N=2-3,FM2,GOLD,5.4,-2.398000000000001,logP>3,logP>3.0,conjugated_coumarin,6.541900000000003,-3.539900000000003,3.539900000000003,OK,5.1533,-2.1513,2.1513,6.01,-5.42,-3.008,3.008,1.97,[0.43:3.51],1,0.424,0.411,1.0319999999999998,1.0319999999999998,-2.3980000000000006,2.3980000000000006,False,False,True,False
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,N=2-3,FM2,GOLD,5.07,-2.003,logP>3,logP>3.0,conjugated_coumarin,5.997600000000003,-2.9306000000000028,2.9306000000000028,OK,4.6665,-1.5995,1.5995,5.56,-5.07,-2.4929999999999994,2.4929999999999994,2.0,[0.45:3.55],1,0.448,0.419,1.0670000000000002,1.0670000000000002,-2.003,2.003,False,False,True,False
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,N=2-3,FM2,GOLD,5.23,-1.6280000000000006,logP>3,logP>3.0,conjugated_coumarin,6.196920000000004,-2.594920000000004,2.594920000000004,OK,4.8912,-1.2892000000000006,1.2892000000000006,5.75,-5.31,-2.148,2.148,1.93,[0.23:3.63],1,0.457,0.347,1.672,1.672,-1.6280000000000006,1.6280000000000006,False,False,False,False
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,N=2-3,FM2,GOLD,5.4,-2.0640000000000005,logP>3,logP>3.0,conjugated_coumarin,6.415120000000004,-3.0791200000000045,3.0791200000000045,OK,5.1296,-1.7936,1.7936,5.73,-5.33,-2.3940000000000006,2.3940000000000006,1.89,[0.23:3.55],1,0.443,0.35,1.446,1.446,-2.0640000000000005,2.0640000000000005,False,False,True,False
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,N=0,FM4,STRICT-GOLD,3.61,-0.5699999999999998,logP>3,logP>3.0,drug_like_coumarin,4.040500000000003,-1.0005000000000033,1.0005000000000033,OK,3.8792,-0.8392,0.8392,3.81,-3.76,-0.77,0.77,4.33,[3.63:5.03],1,0.586,0.618,-1.29,1.29,-0.5699999999999998,0.5699999999999998,False,False,False,True
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,N=2-3,FM1,STRICT-GOLD,1.33,-0.8800000000000001,logP<1,logP<1.5,conjugated_coumarin,1.13282,-0.68282,0.68282,OK,0.2215,0.2285,0.2285,0.84,-2.25,-0.38999999999999996,0.38999999999999996,1.95,[1.74:2.16],1,0.561,0.685,-1.5,1.5,-0.8800000000000001,0.8800000000000001,True,True,False,False
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,N=2-3,FM1,STRICT-GOLD,2.35,-1.75,logP<1,logP<1.5,conjugated_coumarin,2.28602,-1.68602,1.68602,OK,1.4302,-0.8301999999999999,0.8301999999999999,2.36,-3.41,-1.7599999999999998,1.7599999999999998,1.98,[0.79:3.17],1,0.566,0.466,-1.38,1.38,-1.75,1.75,True,True,False,False
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,N=2-3,FM1,STRICT-GOLD,2.59,-2.04,logP<1,logP<1.5,conjugated_coumarin,2.891020000000001,-2.341020000000001,2.341020000000001,OK,2.0153,-1.4652999999999998,1.4652999999999998,2.63,-3.75,-2.08,2.08,3.68,[2.82:4.54],1,0.546,0.496,-3.13,3.13,-2.04,2.04,True,True,True,False
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,N=2-3,FM1,STRICT-GOLD,3.24,-2.6300000000000003,logP<1,logP<1.5,conjugated_coumarin,3.507860000000002,-2.8978600000000023,2.8978600000000023,OK,2.7031,-2.0931,2.0931,3.14,-4.44,-2.5300000000000002,2.5300000000000002,3.73,[2.89:4.57],1,0.573,0.497,-3.12,3.12,-2.6300000000000003,2.6300000000000003,True,True,True,False
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,N=2-3,FM1,STRICT-GOLD,3.17,-2.68,logP<1,logP<1.5,conjugated_coumarin,3.509720000000001,-3.0197200000000013,3.0197200000000013,OK,2.8428,-2.3528000000000002,2.3528000000000002,3.22,-4.13,-2.7300000000000004,2.7300000000000004,2.08,[1.03:3.13],1,0.558,0.486,-1.59,1.59,-2.6799999999999997,2.6799999999999997,True,True,True,False
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,N≥4,FM3,STRICT-GOLD,0.66,-0.01,logP<1,logP<1.5,conjugated_coumarin,0.1642199999999993,0.4857800000000007,0.4857800000000007,OK,-1.1326,1.7826,1.7826,0.34,-2.26,0.31,0.31,1.51,[0.91:2.11],1,0.471,0.629,-0.86,0.86,-0.010000000000000009,0.010000000000000009,True,False,False,False
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,N≥4,FM3,STRICT-GOLD,2.61,-2.13,logP<1,logP<1.5,conjugated_coumarin,2.4706200000000003,-1.9906200000000003,1.9906200000000003,OK,1.2848,-0.8048,0.8048,2.58,-3.7,-2.1,2.1,2.24,[0.38:4.1],1,0.385,0.298,-1.7600000000000002,1.7600000000000002,-2.13,2.13,True,False,True,False
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,N≥4,FM3,STRICT-GOLD,3.02,-2.53,logP<1,logP<1.5,conjugated_coumarin,3.680620000000003,-3.1906200000000027,3.1906200000000027,OK,2.455,-1.965,1.965,3.09,-4.2,-2.5999999999999996,2.5999999999999996,3.34,[1.96:4.72],1,0.394,0.381,-2.8499999999999996,2.8499999999999996,-2.5300000000000002,2.5300000000000002,True,False,True,False
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,N≥4,FM3,STRICT-GOLD,4.42,-3.81,logP<1,logP<1.5,conjugated_coumarin,4.914300000000005,-4.304300000000005,4.304300000000005,OK,3.8306,-3.2206,3.2206,3.91,-4.57,-3.3000000000000003,3.3000000000000003,3.63,[1.96:5.26],1,0.398,0.329,-3.02,3.02,-3.81,3.81,True,False,True,False
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,N≥4,FM3,STRICT-GOLD,4.25,-3.67,logP<1,logP<1.5,conjugated_coumarin,4.918020000000003,-4.338020000000003,4.338020000000003,OK,4.11,-3.5300000000000002,3.5300000000000002,3.91,-5.1,-3.33,3.33,2.63,[0.46:4.8],1,0.401,0.235,-2.05,2.05,-3.67,3.67,True,False,True,False
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,N=2-3,FM2,STRICT-GOLD,3.22,-0.6400000000000001,logP 2-3,logP 1.5-3.0,amidoxime,3.694300000000002,-1.1143000000000018,1.1143000000000018,OK,3.0024,-0.4224000000000001,0.4224000000000001,3.58,-4.28,-1.0,1.0,2.07,[-0.08:4.01],1,0.612,0.341,0.5100000000000002,0.5100000000000002,-0.6400000000000001,0.6400000000000001,False,False,False,False
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,N=2-3,FM2,STRICT-GOLD,3.59,-0.6999999999999997,logP 2-3,logP 1.5-3.0,amidoxime,4.002720000000002,-1.1127200000000017,1.1127200000000017,OK,3.3463,-0.4562999999999997,0.4562999999999997,3.85,-4.54,-0.96,0.96,2.59,[0.84:4.01],1,0.585,0.399,0.30000000000000027,0.30000000000000027,-0.6999999999999997,0.6999999999999997,False,False,False,False
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,N=2-3,FM2,STRICT-GOLD,3.35,-0.5700000000000003,logP 2-3,logP 1.5-3.0,amidoxime,3.504500000000002,-0.7245000000000021,0.7245000000000021,OK,2.8494,-0.06940000000000035,0.06940000000000035,3.29,-4.12,-0.5100000000000002,0.5100000000000002,1.88,[-0.09:3.85],1,0.537,0.296,0.8999999999999999,0.8999999999999999,-0.5700000000000003,0.5700000000000003,False,False,False,False
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,N=1,FM1,STRICT-GOLD,1.9,-1.68,logP<1,logP<1.5,amidoxime (hydroxyimino-alkyl),2.0071,-1.7871,1.7871,OK,1.5454,-1.3254000000000001,1.3254000000000001,1.69,-3.1,-1.47,1.47,2.06,[1.61:2.51],1,0.596,0.697,-1.84,1.84,-1.68,1.68,True,True,False,False
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,N=2-3,FM1,STRICT-GOLD,1.36,-0.3600000000000001,logP<1,logP<1.5,amidoxime (O-acetyl),0.9764000000000002,0.023599999999999843,0.023599999999999843,OK,0.7829,0.21709999999999996,0.21709999999999996,1.13,-3.12,-0.1299999999999999,0.1299999999999999,-0.36,[-1.45:0.73],1,0.549,0.476,1.3599999999999999,1.3599999999999999,-0.3600000000000001,0.3600000000000001,True,True,False,False
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,N=2-3,FM2,STRICT-GOLD,2.96,0.6699999999999999,logP>3,logP>3.0,hydrazone,3.2390000000000008,0.3909999999999991,0.3909999999999991,OK,3.6846,-0.054600000000000204,0.054600000000000204,3.67,-4.09,-0.040000000000000036,0.040000000000000036,2.51,[1.5:3.52],1,0.579,0.503,1.12,1.12,0.6699999999999999,0.6699999999999999,False,False,False,False
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,N=2-3,FM2,STRICT-GOLD,1.78,0.1699999999999999,logP 1-2,logP 1.5-3.0,oxadiazole,1.843,0.10699999999999998,0.10699999999999998,OK,1.1716,0.7784,0.7784,1.95,-2.22,0.0,0.0,1.33,[0.5:2.1],1,0.557,0.565,0.6199999999999999,0.6199999999999999,0.16999999999999993,0.16999999999999993,False,False,False,False
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,N=2-3,FM2,STRICT-GOLD,2.15,-0.0299999999999998,logP 2-3,logP 1.5-3.0,oxadiazole,2.15142,-0.03141999999999978,0.03141999999999978,OK,1.405,0.7150000000000001,0.7150000000000001,2.32,-2.58,-0.19999999999999973,0.19999999999999973,1.97,[0.65:3.29],1,0.566,0.483,0.15000000000000013,0.15000000000000013,-0.029999999999999805,0.029999999999999805,False,False,False,False
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,N=2-3,FM2,STRICT-GOLD,3.26,-0.0399999999999995,logP>3,logP>3.0,oxadiazole,3.5100000000000025,-0.29000000000000226,0.29000000000000226,OK,2.8146,0.4054000000000002,0.4054000000000002,3.76,-3.48,-0.5399999999999996,0.5399999999999996,2.56,[1.5:3.55],1,0.544,0.523,0.6600000000000001,0.6600000000000001,-0.03999999999999959,0.03999999999999959,False,False,False,False
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,N=2-3,FM2,STRICT-GOLD,3.27,-0.29,logP 2-3,logP 1.5-3.0,oxadiazole,3.518600000000003,-0.5386000000000029,0.5386000000000029,OK,2.7446,0.23539999999999983,0.23539999999999983,2.91,-3.5,0.06999999999999984,0.06999999999999984,2.4,[1.73:3.09],1,0.519,0.611,0.5800000000000001,0.5800000000000001,-0.29000000000000004,0.29000000000000004,False,False,False,False
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,N=2-3,FM2,STRICT-GOLD,1.45,0.53,logP 1-2,logP 1.5-3.0,"oxadiazoline (4,5-dihydro-1,2,4-oxadiazole)",1.0318999999999998,0.9481000000000002,0.9481000000000002,OK,1.2944,0.6856,0.6856,0.93,-2.55,1.0499999999999998,1.0499999999999998,0.78,[-0.09:1.65],1,0.559,0.568,1.2,1.2,0.53,0.53,False,False,False,False
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,N=2-3,FM2,STRICT-GOLD,1.75,0.1799999999999999,logP 1-2,logP 1.5-3.0,oxadiazoline,1.4204,0.5095999999999998,0.5095999999999998,OK,1.6461,0.28390000000000004,0.28390000000000004,1.39,-2.65,0.54,0.54,0.71,[-0.55:1.72],1,0.603,0.467,1.22,1.22,0.17999999999999994,0.17999999999999994,False,False,False,False
