Compound_ID,SMILES,logP_exp,N_count,FM,RDKit_MolLogP,delta_RDKit_MolLogP,abs_delta_RDKit_MolLogP,RDKit_status
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,FM0,4.499400000000004,-1.9944000000000042,1.9944000000000042,OK
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,FM3,3.4342400000000017,-0.21424000000000154,0.21424000000000154,OK
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,FM3,2.834600000000001,0.1753999999999989,0.1753999999999989,OK
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,FM3,2.8346,0.1354000000000002,0.1354000000000002,OK
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,FM3,2.578500000000001,0.2014999999999989,0.2014999999999989,OK
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,FM3,1.8616999999999995,1.9083000000000006,1.9083000000000006,OK
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,FM2,7.069600000000006,-2.1896000000000058,2.1896000000000058,OK
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,FM2,7.686440000000006,-2.6464400000000063,2.6464400000000063,OK
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,FM2,7.686440000000006,-2.656440000000006,2.656440000000006,OK
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,FM2,7.078200000000006,-2.3182000000000063,2.3182000000000063,OK
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,FM3,6.464600000000005,-2.534600000000005,2.534600000000005,OK
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,FM0,1.4986,0.8714000000000002,0.8714000000000002,OK
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,FM4,3.6096000000000026,-0.3296000000000028,0.3296000000000028,OK
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,FM2,3.517800000000003,-0.2778000000000027,0.2778000000000027,OK
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,FM4,3.005600000000001,1.9243999999999986,1.9243999999999986,OK
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,FM4,3.088900000000003,1.461099999999997,1.461099999999997,OK
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,FM2,5.344200000000003,-2.0402000000000036,2.0402000000000036,OK
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,FM2,6.106700000000004,-2.9947000000000035,2.9947000000000035,OK
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,FM2,5.734900000000003,-2.1979000000000033,2.1979000000000033,OK
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,FM2,5.888500000000002,-2.829500000000002,2.829500000000002,OK
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,FM2,6.541900000000003,-3.539900000000003,3.539900000000003,OK
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,FM2,5.997600000000003,-2.9306000000000028,2.9306000000000028,OK
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,FM2,6.196920000000004,-2.594920000000004,2.594920000000004,OK
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,FM2,6.415120000000004,-3.0791200000000045,3.0791200000000045,OK
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,FM4,4.040500000000003,-1.0005000000000033,1.0005000000000033,OK
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,FM1,1.13282,-0.68282,0.68282,OK
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,FM1,2.2860199999999997,-1.6860199999999996,1.6860199999999996,OK
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,FM1,2.891020000000001,-2.341020000000001,2.341020000000001,OK
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,FM1,3.5078600000000026,-2.8978600000000028,2.8978600000000028,OK
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,FM1,3.5097200000000015,-3.0197200000000013,3.0197200000000013,OK
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,FM3,0.16421999999999937,0.48578000000000066,0.48578000000000066,OK
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,FM3,2.4706200000000003,-1.9906200000000003,1.9906200000000003,OK
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,FM3,3.680620000000003,-3.1906200000000027,3.1906200000000027,OK
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,FM3,4.914300000000005,-4.304300000000005,4.304300000000005,OK
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,FM3,4.918020000000003,-4.338020000000003,4.338020000000003,OK
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,FM2,3.694300000000002,-1.1143000000000018,1.1143000000000018,OK
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,FM2,4.002720000000002,-1.1127200000000017,1.1127200000000017,OK
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,FM2,3.504500000000002,-0.7245000000000021,0.7245000000000021,OK
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,FM1,2.0071,-1.7871,1.7871,OK
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,FM1,0.9764000000000002,0.023599999999999843,0.023599999999999843,OK
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,FM2,3.2390000000000008,0.3909999999999991,0.3909999999999991,OK
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,FM2,1.8429999999999997,0.1070000000000002,0.1070000000000002,OK
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,FM2,2.15142,-0.03141999999999978,0.03141999999999978,OK
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,FM2,3.5100000000000025,-0.29000000000000226,0.29000000000000226,OK
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,FM2,3.518600000000003,-0.5386000000000029,0.5386000000000029,OK
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,FM2,1.0318999999999998,0.9481000000000002,0.9481000000000002,OK
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,FM2,1.4203999999999999,0.5096,0.5096,OK
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,FM2,2.948900000000001,-0.4989000000000008,0.4989000000000008,OK
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,FM2,3.3374000000000015,-0.6374000000000013,0.6374000000000013,OK
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,FM2,3.9681900000000017,-0.9381900000000019,0.9381900000000019,OK
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,FM2,2.5701,-0.4100999999999999,0.4100999999999999,OK
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,FM2,3.518600000000002,-0.4486000000000021,0.4486000000000021,OK
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,FM2,3.208800000000001,-0.16880000000000095,0.16880000000000095,OK
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,FM0,1.793,-0.403,0.403,OK
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,FM1,2.8224,-2.4024,2.4024,OK
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,FM1,5.549600000000005,-4.184600000000005,4.184600000000005,OK
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,FM1,7.1100000000000065,-6.143600000000006,6.143600000000006,OK
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,FM0,2.5392,-0.8692000000000002,0.8692000000000002,OK
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,FM0,2.5478000000000005,-0.6178000000000006,0.6178000000000006,OK
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,FM0,2.5478000000000005,-0.5478000000000005,0.5478000000000005,OK
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,FM4,3.4644600000000016,-0.3244600000000015,0.3244600000000015,OK
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,FM3,3.896200000000002,-2.484200000000002,2.484200000000002,OK
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,FM3,4.658700000000002,-3.0287000000000024,3.0287000000000024,OK
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,FM3,4.658700000000002,-3.078700000000002,3.078700000000002,OK
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,FM3,3.6018000000000017,-2.7758000000000016,2.7758000000000016,OK
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,FM3,3.6018000000000017,-2.9568000000000016,2.9568000000000016,OK
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,FM3,4.5496000000000025,-3.0486000000000026,3.0486000000000026,OK
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,FM3,4.204620000000003,-2.398620000000003,2.398620000000003,OK
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,FM3,3.2912000000000017,-2.071200000000002,2.071200000000002,OK
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,FM3,4.255900000000002,-2.834900000000002,2.834900000000002,OK
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,FM3,4.909300000000003,-3.4383000000000026,3.4383000000000026,OK
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,FM2,4.628700000000003,-2.558700000000003,2.558700000000003,OK
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,FM2,4.586300000000004,-2.156300000000004,2.156300000000004,OK
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,FM2,6.010700000000005,-3.3607000000000053,3.3607000000000053,OK
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,FM2,4.674300000000004,-2.154300000000004,2.154300000000004,OK
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,FM2,7.249400000000008,-4.449400000000008,4.449400000000008,OK
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,FM3,2.3037,-0.05370000000000008,0.05370000000000008,OK
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,FM3,2.0093,0.010699999999999932,0.010699999999999932,OK
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,FM3,2.1408000000000005,-0.24080000000000057,0.24080000000000057,OK
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,FM3,2.0179,-0.06790000000000007,0.06790000000000007,OK
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,FM3,2.4175000000000004,0.23249999999999948,0.23249999999999948,OK
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,FM2,2.7307000000000006,-0.3507000000000007,0.3507000000000007,OK
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,FM2,2.4363000000000006,0.21369999999999933,0.21369999999999933,OK
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,FM3,2.5678,-0.15779999999999994,0.15779999999999994,OK
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,FM2,2.4449000000000005,0.16509999999999936,0.16509999999999936,OK
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,FM2,2.844500000000001,-0.2045000000000008,0.2045000000000008,OK
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,FM1,2.8779000000000012,-1.3799000000000012,1.3799000000000012,OK
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,FM2,2.869300000000001,-1.366300000000001,1.366300000000001,OK
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,FM2,2.869300000000001,-0.7173000000000007,0.7173000000000007,OK
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,FM2,4.015200000000003,-2.297200000000003,2.297200000000003,OK
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,FM2,4.006600000000002,-2.2276000000000025,2.2276000000000025,OK
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,FM2,4.006600000000002,-1.7186000000000026,1.7186000000000026,OK
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,FM1,2.487800000000001,-1.192800000000001,1.192800000000001,OK
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,FM2,2.4792000000000005,-0.025200000000000333,0.025200000000000333,OK
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,1.443,1,FM1,2.4792000000000005,-1.0362000000000005,1.0362000000000005,OK
